,total,data,border
0,0.2012825659788526,0.2018943013580473,0.20067083001420186
1,0.015781107925445407,0.0175085819640511,0.014053228553160801
2,0.0081563463580941,0.010136777841792748,0.006174085300520167
3,0.0063264073978352535,0.007608200120902783,0.0050424164094895986
4,0.005441183921180897,0.006313699090646373,0.004566726543743898
5,0.0049140098308016345,0.00553936602778964,0.0042870442990821465
6,0.00457139171098729,0.005031374927789152,0.00411011049108164
7,0.004330290233934516,0.004661536726586006,0.0039980481886812995
8,0.004130808933003171,0.004387004324258328,0.00387381053962246
9,0.003992015599143562,0.004158818935816949,0.0038246731646731868
